ip,isp,city,countrycode,latitude,longitude
66.249.91.47,Google,Mountain View,US,37.4192,-122.0574
66.249.91.46,Google,Mountain View,US,37.4192,-122.0574
202.161.104.216,TPG Internet,Roxby Downs,AU,-30.5552,136.8936
81.144.138.34,BT,Hayes,GB,51.5158,-0.4234
186.232.224.16,Tdnet Ltda,Vicosa,BR,-20.75,-42.8833
78.63.201.57,TEO LT,Vilnius,LT,54.6833,25.3167
50.16.118.147,Amazon.com,Ashburn,US,39.018,-77.539
12.159.248.130,AT&T Services,Lake Zurich,US,42.2008,-88.043
178.38.73.89,Sunrise Communications AG,Canobbio,CH,46.0344,8.9665
46.118.126.194,Kyivstar PJSC,Lviv,UA,49.8407,24.0305
197.204.247.45,Telecom Algeria,Constantine,DZ,36.365,6.6147
153.107.193.203,NSW Department of Education,Granville,AU,-33.8332,151.0198
108.26.56.36,Verizon Fios,Syracuse,US,43.0318,-76.095
67.165.10.211,Comcast Cable,Doylestown,US,40.3101,-75.1299
71.210.83.203,CenturyLink,,US,37.751,-97.822
72.241.45.209,Buckeye Cablevision,Toledo,US,41.7035,-83.6052
24.130.135.36,Comcast Cable,Castro Valley,US,37.709,-122.0885
84.187.181.135,Deutsche Telekom AG,Berlin,DE,52.5167,13.4
87.175.9.34,Deutsche Telekom AG,Lauf an der Pegnitz,DE,49.5152,11.2763
204.102.40.77,"California State University, Office of the Chancel",Cerritos,US,33.8661,-118.0528
74.108.81.119,Verizon Internet Services,Jackson Heights,US,40.7517,-73.8832
31.57.82.8,Aria Shatel Company,,IR,35.6961,51.4231
90.85.52.189,Orange,Paris,FR,48.8667,2.3333
173.239.125.187,HostMySite,Newark,US,39.6155,-75.7044
74.105.151.36,Verizon Fios,Ridgewood,US,40.9816,-74.1138
67.83.64.145,Optimum Online,Edison,US,40.5187,-74.4121
75.18.34.152,AT&T U-verse,Dallas,US,32.8928,-96.8708
69.116.30.83,Optimum Online,Piscataway,US,40.5516,-74.4637
109.149.143.37,BT,Ringwood,GB,50.85,-1.7833
98.183.181.67,Cox Communications,Virginia Beach,US,36.6753,-75.9161
85.26.241.232,PJSC MegaFon,Khabarovsk,RU,48.4808,135.0928
76.98.122.205,Comcast Cable,Essington,US,39.8684,-75.2223
85.26.241.235,PJSC MegaFon,Khabarovsk,RU,48.4808,135.0928
24.17.132.244,Comcast Cable,Federal Way,US,47.3078,-122.3177
24.199.57.210,Time Warner Cable,Encino,US,34.1568,-118.5231
67.7.227.243,CenturyLink,Cloquet,US,46.744,-92.5739
76.3.166.211,CenturyLink,Bonita Springs,US,26.3711,-81.7733
136.235.244.60,"California State University, Office of the Chancel",Carmichael,US,38.6262,-121.3248
89.144.190.216,Andishe Sabz Khazar Co. P.j.s.,,IR,38.08,46.2919
116.38.215.152,LG Powercomm,Seoul,KR,37.5985,126.9783
99.172.74.41,AT&T U-verse,Miami,US,25.6615,-80.412
210.187.181.113,TM Net,Kajang,MY,3.0094,101.7755
99.144.72.7,AT&T U-verse,Deerfield Beach,US,26.3084,-80.1432
