ip,count
91.135.11.190,2818
99.120.130.53,1581
91.207.6.138,1523
98.137.207.29,1333
70.95.135.90,1013
199.58.72.230,923
67.239.34.114,869
68.45.4.157,812
24.167.222.130,807
189.231.40.131,795
68.3.144.60,758
209.85.238.28,716
199.167.77.44,709
66.195.91.180,702
66.154.193.1,690
173.228.88.216,623
173.19.226.217,616
58.175.169.156,615
109.122.88.174,611
66.190.78.39,583
69.126.162.224,569
66.57.111.58,564
209.232.148.101,539
107.202.109.12,529
108.85.246.106,503
96.245.16.121,499
96.49.8.92,495
66.249.81.101,490
165.138.10.5,490
185.3.179.24,487
71.185.191.213,484
213.126.123.146,480
89.173.171.43,464
184.169.203.101,452
71.91.40.54,452
76.30.178.12,416
172.5.212.112,406
98.208.237.158,401
23.122.168.49,392
74.222.208.98,385
97.90.199.104,385
66.189.99.146,381
89.85.103.57,381
72.14.199.218,380
76.173.214.96,379
66.244.106.102,367
81.190.246.254,356
173.56.254.169,353
1.247.109.122,353
46.16.3.241,353
38.114.68.114,349
209.221.90.250,347
74.114.87.61,346
208.115.111.72,340
176.9.158.210,336
74.64.90.242,335
151.188.213.195,328
193.48.132.5,326
14.99.157.172,325
123.203.55.72,321
198.62.219.7,319
208.115.113.88,315
66.249.85.30,314
103.21.3.162,314
47.66.13.245,313
176.33.248.160,313
69.255.251.4,313
63.234.150.14,312
67.20.55.31,310
173.249.151.143,310
204.13.204.162,310
202.176.202.141,309
68.190.16.68,302
71.63.242.115,301
79.175.173.98,301
99.114.90.110,300
108.212.82.75,299
41.99.3.47,298
205.222.248.147,297
174.52.251.238,296
211.129.81.174,295
99.163.241.184,294
83.165.240.42,291
96.27.166.102,290
70.135.103.7,287
68.0.152.212,287
216.73.79.66,285
112.200.93.103,284
84.227.237.82,280
65.96.87.66,279
65.130.163.126,279
50.4.169.121,273
66.249.93.101,273
67.211.8.21,272
216.124.112.140,272
38.117.84.194,270
216.130.94.39,264
107.206.161.254,263
24.189.193.114,262
54.207.169.72,255
